ID,ID_EMPRESA,ID_ESTABLO,BAJA,MOT,GRU
716,EMP01,EST01,-,-,SECAS
1305,EMP01,EST01,-,-,LOTE 2
1420,EMP01,EST01,-,-,LOTE 1
1447,EMP01,EST01,-,-,LOTE 1
1592,EMP01,EST01,-,-,LOTE 2
1668,EMP01,EST01,-,-,SECAS
1719,EMP01,EST01,-,-,FRESCAS
1901,EMP01,EST01,-,-,SECAS
1988,EMP01,EST01,-,-,SECAS
2061,EMP01,EST01,-,-,SECAS
2108,EMP01,EST01,-,-,LOTE 1
2255,EMP01,EST01,-,-,LOTE 1
12762,EMP01,EST01,-,-,SECAS
12872,EMP01,EST01,-,-,FRESCAS
13111,EMP01,EST01,-,-,LOTE 2
13118,EMP01,EST01,-,-,LOTE 2
13128,EMP01,EST01,-,-,LOTE 2
13133,EMP01,EST01,-,-,FRESCAS
13138,EMP01,EST01,-,-,SECAS
13156,EMP01,EST01,-,-,LOTE 1
13159,EMP01,EST01,-,-,LOTE 1
13165,EMP01,EST01,-,-,SECAS
13166,EMP01,EST01,-,-,LOTE 1
13174,EMP01,EST01,-,-,FRESCAS
13182,EMP01,EST01,-,-,LOTE 1
13186,EMP01,EST01,-,-,LOTE 1
13193,EMP01,EST01,-,-,LOTE 2
13197,EMP01,EST01,-,-,LOTE 1
13200,EMP01,EST01,-,-,LOTE 2
13310,EMP01,EST01,-,-,LOTE 2
13569,EMP01,EST01,-,-,FRESCAS
13603,EMP01,EST01,-,-,FRESCAS
13606,EMP01,EST01,-,-,FRESCAS
13620,EMP01,EST01,-,-,SECAS
13623,EMP01,EST01,-,-,SECAS
13649,EMP01,EST01,-,-,FRESCAS
13650,EMP01,EST01,-,-,FRESCAS
13653,EMP01,EST01,-,-,FRESCAS
13668,EMP01,EST01,-,-,LOTE 2
13697,EMP01,EST01,-,-,SECAS
13731,EMP01,EST01,-,-,FRESCAS
13771,EMP01,EST01,-,-,SECAS
13799,EMP01,EST01,-,-,LOTE 2
13816,EMP01,EST01,-,-,LOTE 1
42014,EMP01,EST01,-,-,FRESCAS
52132,EMP01,EST01,-,-,LOTE 1
52334,EMP01,EST01,-,-,LOTE 1
52347,EMP01,EST01,-,-,LOTE 1
52360,EMP01,EST01,-,-,LOTE 2
52367,EMP01,EST01,-,-,LOTE 2
52373,EMP01,EST01,-,-,LOTE 1
52380,EMP01,EST01,-,-,SECAS
52382,EMP01,EST01,-,-,SECAS
52394,EMP01,EST01,-,-,LOTE 1
52398,EMP01,EST01,-,-,LOTE 2
52409,EMP01,EST01,-,-,FRESCAS
52411,EMP01,EST01,-,-,LOTE 1
52418,EMP01,EST01,-,-,SECAS
52442,EMP01,EST01,-,-,FRESCAS
52487,EMP01,EST01,-,-,LOTE 1
52495,EMP01,EST01,-,-,LOTE 1
52496,EMP01,EST01,-,-,LOTE 2
52510,EMP01,EST01,-,-,FRESCAS
52531,EMP01,EST01,-,-,LOTE 2
52546,EMP01,EST01,-,-,LOTE 1
52547,EMP01,EST01,-,-,LOTE 2
52549,EMP01,EST01,-,-,LOTE 2
52551,EMP01,EST01,-,-,SECAS
52558,EMP01,EST01,-,-,SECAS
52567,EMP01,EST01,-,-,LOTE 2
52570,EMP01,EST01,-,-,FRESCAS
52572,EMP01,EST01,-,-,FRESCAS
52575,EMP01,EST01,-,-,LOTE 1
52577,EMP01,EST01,-,-,LOTE 2
52596,EMP01,EST01,-,-,LOTE 2
52605,EMP01,EST01,-,-,FRESCAS
52610,EMP01,EST01,-,-,LOTE 2
52613,EMP01,EST01,-,-,LOTE 2
52616,EMP01,EST01,-,-,LOTE 1
52617,EMP01,EST01,-,-,FRESCAS
52634,EMP01,EST01,-,-,FRESCAS
52648,EMP01,EST01,-,-,LOTE 1
52661,EMP01,EST01,-,-,SECAS
52676,EMP01,EST01,-,-,FRESCAS
52682,EMP01,EST01,-,-,LOTE 2
52691,EMP01,EST01,-,-,LOTE 1
52692,EMP01,EST01,-,-,LOTE 1
52694,EMP01,EST01,-,-,FRESCAS
52704,EMP01,EST01,-,-,FRESCAS
52715,EMP01,EST01,-,-,LOTE 1
52717,EMP01,EST01,-,-,FRESCAS
52729,EMP01,EST01,-,-,FRESCAS
52731,EMP01,EST01,-,-,LOTE 2
52732,EMP01,EST01,-,-,FRESCAS
52745,EMP01,EST01,-,-,SECAS
52748,EMP01,EST01,-,-,LOTE 1
52759,EMP01,EST01,-,-,LOTE 1
52766,EMP01,EST01,-,-,SECAS
52768,EMP01,EST01,-,-,FRESCAS
52770,EMP01,EST01,-,-,SECAS
52774,EMP01,EST01,-,-,LOTE 1
52776,EMP01,EST01,-,-,FRESCAS
52779,EMP01,EST01,-,-,FRESCAS
52781,EMP01,EST01,-,-,FRESCAS
52795,EMP01,EST01,-,-,LOTE 2
52796,EMP01,EST01,-,-,FRESCAS
52797,EMP01,EST01,-,-,LOTE 2
52810,EMP01,EST01,-,-,LOTE 1
52853,EMP01,EST01,-,-,LOTE 1
52857,EMP01,EST01,-,-,FRESCAS
52871,EMP01,EST01,-,-,LOTE 1
52882,EMP01,EST01,-,-,LOTE 2
52889,EMP01,EST01,-,-,SECAS
52896,EMP01,EST01,-,-,SECAS
52902,EMP01,EST01,-,-,LOTE 1
52903,EMP01,EST01,-,-,FRESCAS
52906,EMP01,EST01,-,-,LOTE 1
52907,EMP01,EST01,-,-,FRESCAS
52908,EMP01,EST01,-,-,LOTE 1
52929,EMP01,EST01,-,-,FRESCAS
52932,EMP01,EST01,-,-,SECAS
52937,EMP01,EST01,-,-,SECAS
52940,EMP01,EST01,-,-,FRESCAS
52944,EMP01,EST01,-,-,LOTE 1
52956,EMP01,EST01,-,-,LOTE 2
52965,EMP01,EST01,-,-,LOTE 2
52969,EMP01,EST01,-,-,LOTE 2
52974,EMP01,EST01,-,-,SECAS
52986,EMP01,EST01,-,-,LOTE 1
52987,EMP01,EST01,-,-,FRESCAS
53003,EMP01,EST01,-,-,SECAS
53005,EMP01,EST01,-,-,LOTE 2
53016,EMP01,EST01,-,-,SECAS
53022,EMP01,EST01,-,-,FRESCAS
53023,EMP01,EST01,-,-,LOTE 1
53026,EMP01,EST01,-,-,FRESCAS
53027,EMP01,EST01,-,-,LOTE 1
53030,EMP01,EST01,-,-,LOTE 2
53032,EMP01,EST01,-,-,FRESCAS
53034,EMP01,EST01,-,-,LOTE 2
53042,EMP01,EST01,-,-,LOTE 2
53068,EMP01,EST01,-,-,LOTE 2
53069,EMP01,EST01,-,-,SECAS
53070,EMP01,EST01,-,-,SECAS
53073,EMP01,EST01,-,-,SECAS
53098,EMP01,EST01,-,-,FRESCAS
53104,EMP01,EST01,-,-,SECAS
53107,EMP01,EST01,-,-,LOTE 1
53109,EMP01,EST01,-,-,LOTE 2
53114,EMP01,EST01,-,-,SECAS
53116,EMP01,EST01,-,-,FRESCAS
53125,EMP01,EST01,-,-,FRESCAS
53127,EMP01,EST01,-,-,SECAS
53132,EMP01,EST01,-,-,SECAS
53139,EMP01,EST01,-,-,LOTE 2
53150,EMP01,EST01,-,-,FRESCAS
53152,EMP01,EST01,-,-,FRESCAS
53153,EMP01,EST01,-,-,FRESCAS
53162,EMP01,EST01,-,-,LOTE 2
53163,EMP01,EST01,-,-,LOTE 1
53164,EMP01,EST01,-,-,LOTE 1
53172,EMP01,EST01,-,-,FRESCAS
53177,EMP01,EST01,-,-,LOTE 1
53189,EMP01,EST01,-,-,LOTE 1
53191,EMP01,EST01,-,-,LOTE 2
53202,EMP01,EST01,-,-,SECAS
53206,EMP01,EST01,-,-,LOTE 1
53207,EMP01,EST01,-,-,FRESCAS
53211,EMP01,EST01,-,-,LOTE 1
53219,EMP01,EST01,-,-,FRESCAS
53220,EMP01,EST01,-,-,LOTE 1
53222,EMP01,EST01,-,-,LOTE 2
53223,EMP01,EST01,-,-,FRESCAS
53233,EMP01,EST01,-,-,LOTE 2
53237,EMP01,EST01,-,-,LOTE 1
53243,EMP01,EST01,-,-,LOTE 2
53252,EMP01,EST01,-,-,LOTE 2
53254,EMP01,EST01,-,-,LOTE 2
53257,EMP01,EST01,-,-,LOTE 2
53258,EMP01,EST01,-,-,LOTE 1
53262,EMP01,EST01,-,-,LOTE 1
53263,EMP01,EST01,-,-,SECAS
53275,EMP01,EST01,-,-,LOTE 1
53280,EMP01,EST01,-,-,LOTE 2
53284,EMP01,EST01,-,-,SECAS
53285,EMP01,EST01,-,-,FRESCAS
53286,EMP01,EST01,-,-,LOTE 2
53290,EMP01,EST01,-,-,SECAS
53292,EMP01,EST01,-,-,FRESCAS
53295,EMP01,EST01,-,-,LOTE 2
53298,EMP01,EST01,-,-,SECAS
53304,EMP01,EST01,-,-,LOTE 2
53308,EMP01,EST01,-,-,LOTE 2
53312,EMP01,EST01,-,-,LOTE 2
53317,EMP01,EST01,-,-,FRESCAS
53319,EMP01,EST01,-,-,LOTE 1
53320,EMP01,EST01,-,-,SECAS
53322,EMP01,EST01,-,-,LOTE 1
53324,EMP01,EST01,-,-,LOTE 2
53325,EMP01,EST01,-,-,LOTE 2
53329,EMP01,EST01,-,-,LOTE 1
53335,EMP01,EST01,-,-,SECAS
53340,EMP01,EST01,-,-,FRESCAS
53342,EMP01,EST01,-,-,LOTE 2
53343,EMP01,EST01,-,-,SECAS
53344,EMP01,EST01,-,-,SECAS
53355,EMP01,EST01,-,-,FRESCAS
53356,EMP01,EST01,-,-,LOTE 1
53357,EMP01,EST01,-,-,FRESCAS
53361,EMP01,EST01,-,-,LOTE 2
53364,EMP01,EST01,-,-,SECAS
53372,EMP01,EST01,-,-,LOTE 1
53374,EMP01,EST01,-,-,SECAS
53377,EMP01,EST01,-,-,LOTE 2
53379,EMP01,EST01,-,-,LOTE 2
53385,EMP01,EST01,-,-,LOTE 2
53389,EMP01,EST01,-,-,SECAS
53394,EMP01,EST01,-,-,LOTE 1
53395,EMP01,EST01,-,-,SECAS
53396,EMP01,EST01,-,-,LOTE 2
53403,EMP01,EST01,-,-,LOTE 1
53404,EMP01,EST01,-,-,FRESCAS
53405,EMP01,EST01,-,-,SECAS
53411,EMP01,EST01,-,-,SECAS
53415,EMP01,EST01,-,-,LOTE 2
53416,EMP01,EST01,-,-,FRESCAS
53424,EMP01,EST01,-,-,FRESCAS
53436,EMP01,EST01,-,-,SECAS
53442,EMP01,EST01,-,-,LOTE 1
53462,EMP01,EST01,-,-,SECAS
53464,EMP01,EST01,-,-,LOTE 2
53474,EMP01,EST01,-,-,LOTE 1
53476,EMP01,EST01,-,-,LOTE 2
53481,EMP01,EST01,-,-,LOTE 1
53486,EMP01,EST01,-,-,SECAS
53491,EMP01,EST01,-,-,FRESCAS
53492,EMP01,EST01,-,-,LOTE 1
53496,EMP01,EST01,-,-,LOTE 2
